EZABPQM,Tranche_Debut,Tranche_Fin,Mnémo,Territoire,Date_Attribution
054004,0540040000,0540049999,FREE,ZNE Bazas,08/01/2009
054005,0540050000,0540059999,SFR0,ZNE Bordeaux,08/12/2011
054006,0540060000,0540069999,SFR0,ZNE Langon,08/12/2011
054007,0540070000,0540079999,SFR0,ZNE Bayonne,08/12/2011
054008,0540080000,0540089999,SFR0,ZNE Bordeaux,08/12/2011
054009,0540090000,0540099999,FREE,ZNE Blaye,08/01/2009
054010,0540100000,0540109999,SFR0,ZNE Blaye,08/12/2011
054011,0540110000,0540119999,FREE,ZNE Langon,08/01/2009
054012,0540120000,0540129999,SFR0,ZNE Bordeaux,08/12/2011
054013,0540130000,0540139999,SFR0,ZNE Bordeaux,08/12/2011
054014,0540140000,0540149999,FREE,ZNE Libourne,08/01/2009
054015,0540150000,0540159999,FREE,ZNE La Réole,08/01/2009
054016,0540160000,0540169999,MCI,ZNE Bordeaux,01/01/2018
054017,0540170000,0540179999,COMP,ZNE Pau,28/09/2004
054018,0540180000,0540189999,SFR0,ZNE Bordeaux,08/12/2011
054019,0540190000,0540199999,FREE,ZNE Lesparre-Médoc,08/01/2009
054020,0540200000,0540209999,SFR0,ZNE Libourne,08/12/2011
054021,0540210000,0540219999,FREE,ZNE Bordeaux,08/01/2009
054022,0540220000,0540229999,FREE,ZNE Andernos-les-Bains,08/01/2009
054023,0540230000,0540239999,SFR0,ZNE Arcachon,08/12/2011
054024,0540240000,0540249999,COLT,ZNE Bordeaux,01/01/2018
054025,0540250000,0540259999,COLT,ZNE Bordeaux,01/01/2018
054026,0540260000,0540269999,COLT,ZNE Andernos-les-Bains,01/01/2018
054027,0540270000,0540279999,COLT,ZNE Arcachon,01/01/2018
054028,0540280000,0540289999,COLT,ZNE Bazas,01/01/2018
054029,0540290000,0540299999,COLT,ZNE Blaye,01/01/2018
054030,0540300000,0540309999,SFR0,ZNE La Réole,08/12/2011
054031,0540310000,0540319999,SFR0,ZNE Mussidan,08/12/2011
054032,0540320000,0540329999,COMP,ZNE Bordeaux,28/09/2004
054033,0540330000,0540339999,COLT,ZNE Thiviers,01/01/2018
054034,0540340000,0540349999,COLT,ZNE Langon,01/01/2018
